,Model,Ensemble_member,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,r1i1p1f1,2025.241,2022.508,2.7329999999999472
1,ACCESS-CM2,r2i1p1f1,2027.246,2024.669,2.576999999999998
2,ACCESS-ESM1-5,r1i1p1f1,2033.857,2029.531,4.326000000000022
3,ACCESS-ESM1-5,r2i1p1f1,2030.715,2026.562,4.15300000000002
4,ACCESS-ESM1-5,r3i1p1f1,2028.144,2024.995,3.1490000000001146
5,AWI-CM-1-1-MR,r1i1p1f1,2063.654,2043.557,20.09699999999998
6,BCC-CSM2-MR,r1i1p1f1,2036.608,2030.139,6.469000000000051
7,CAMS-CSM1-0,r1i1p1f1,2059.463,2037.726,21.73700000000008
8,CAMS-CSM1-0,r2i1p1f1,2048.843,2043.519,5.323999999999842
9,CAS-ESM2-0,r1i1p1f1,2028.115,2023.941,4.173999999999978
10,CESM2,r4i1p1f1,2029.449,2027.602,1.84699999999998
11,CESM2-WACCM,r1i1p1f1,2033.309,2030.527,2.7819999999999254
12,CIESM,r1i1p1f1,2063.144,2038.965,24.17899999999986
13,CMCC-CM2-SR5,r1i1p1f1,2042.739,2038.474,4.2650000000001
14,CMCC-ESM2,r1i1p1f1,2038.784,2035.592,3.1920000000000073
15,CNRM-CM6-1,r1i1p1f2,2029.428,2026.864,2.564000000000078
16,CNRM-CM6-1,r2i1p1f2,2026.911,2024.251,2.660000000000082
17,CNRM-CM6-1,r3i1p1f2,2029.204,2025.615,3.588999999999942
18,CNRM-CM6-1,r4i1p1f2,2030.061,2026.985,3.076000000000022
19,CNRM-CM6-1,r5i1p1f2,2029.766,2027.202,2.564000000000078
20,CNRM-CM6-1,r6i1p1f2,2032.396,2028.876,3.519999999999982
21,CNRM-CM6-1-HR,r1i1p1f2,2033.26,2028.573,4.686999999999898
22,CNRM-ESM2-1,r1i1p1f2,2039.896,2039.03,0.8659999999999854
23,CNRM-ESM2-1,r2i1p1f2,2031.554,2029.712,1.8420000000000982
24,CNRM-ESM2-1,r3i1p1f2,2025.242,2022.259,2.9829999999999472
25,CNRM-ESM2-1,r4i1p1f2,2023.821,2022.121,1.699999999999818
26,CNRM-ESM2-1,r5i1p1f2,2026.608,2024.229,2.3789999999999054
27,CanESM5,r10i1p1f1,2052.175,2040.48,11.695000000000164
28,CanESM5,r10i1p2f1,2042.351,2032.983,9.368000000000166
29,CanESM5,r11i1p1f1,2041.937,2032.938,8.998999999999796
30,CanESM5,r11i1p2f1,2053.589,2041.095,12.493999999999915
31,CanESM5,r12i1p1f1,2047.213,2036.878,10.335000000000036
32,CanESM5,r12i1p2f1,2043.501,2033.513,9.988000000000056
33,CanESM5,r13i1p1f1,2044.801,2034.129,10.672000000000025
34,CanESM5,r13i1p2f1,2047.676,2038.524,9.152000000000044
35,CanESM5,r14i1p1f1,2049.238,2036.852,12.38599999999974
36,CanESM5,r14i1p2f1,2037.14,2030.081,7.0590000000001965
37,CanESM5,r15i1p1f1,2045.88,2036.374,9.506000000000085
38,CanESM5,r15i1p2f1,2041.687,2028.344,13.342999999999847
39,CanESM5,r16i1p1f1,2043.165,2033.621,9.543999999999869
40,CanESM5,r16i1p2f1,2038.513,2031.177,7.336000000000013
41,CanESM5,r17i1p1f1,2050.344,2037.7,12.644000000000005
42,CanESM5,r17i1p2f1,2040.927,2031.281,9.645999999999958
43,CanESM5,r18i1p1f1,2060.985,2038.295,22.690000000000055
44,CanESM5,r18i1p2f1,2037.108,2029.948,7.1599999999998545
45,CanESM5,r19i1p1f1,2044.53,2035.912,8.617999999999938
46,CanESM5,r19i1p2f1,2055.211,2039.085,16.12599999999975
47,CanESM5,r1i1p1f1,2040.405,2031.748,8.656999999999925
48,CanESM5,r1i1p2f1,2042.054,2031.192,10.86200000000008
49,CanESM5,r20i1p1f1,2041.906,2032.019,9.886999999999944
50,CanESM5,r20i1p2f1,2037.928,2031.62,6.30800000000022
51,CanESM5,r21i1p1f1,2044.39,2032.73,11.660000000000082
52,CanESM5,r21i1p2f1,2045.081,2031.595,13.485999999999876
53,CanESM5,r22i1p1f1,2046.086,2035.837,10.249000000000024
54,CanESM5,r22i1p2f1,2047.413,2033.051,14.36200000000008
55,CanESM5,r23i1p1f1,2049.58,2036.4,13.179999999999836
56,CanESM5,r23i1p2f1,2039.459,2031.427,8.032000000000153
57,CanESM5,r24i1p1f1,2046.066,2036.894,9.172000000000025
58,CanESM5,r24i1p2f1,2039.028,2030.564,8.463999999999942
59,CanESM5,r25i1p1f1,2046.83,2036.016,10.81399999999985
60,CanESM5,r25i1p2f1,2042.668,2035.943,6.724999999999909
61,CanESM5,r2i1p1f1,2041.641,2031.993,9.648000000000138
62,CanESM5,r2i1p2f1,2038.548,2029.968,8.579999999999927
63,CanESM5,r3i1p1f1,2045.648,2037.072,8.576000000000022
64,CanESM5,r3i1p2f1,2040.001,2032.931,7.069999999999936
65,CanESM5,r4i1p1f1,2058.917,2042.368,16.548999999999978
66,CanESM5,r4i1p2f1,2046.197,2035.78,10.416999999999916
67,CanESM5,r5i1p1f1,2040.739,2034.024,6.7150000000001455
68,CanESM5,r5i1p2f1,2044.776,2037.21,7.566000000000031
69,CanESM5,r6i1p1f1,2052.149,2039.247,12.901999999999816
70,CanESM5,r6i1p2f1,2040.673,2033.954,6.719000000000051
71,CanESM5,r7i1p1f1,2044.828,2035.506,9.321999999999889
72,CanESM5,r7i1p2f1,2045.101,2033.822,11.279000000000224
73,CanESM5,r8i1p1f1,2053.826,2041.405,12.42100000000005
74,CanESM5,r8i1p2f1,2046.198,2035.477,10.721000000000004
75,CanESM5,r9i1p1f1,2042.798,2033.45,9.347999999999956
76,CanESM5,r9i1p2f1,2040.903,2031.77,9.133000000000038
77,CanESM5-CanOE,r1i1p2f1,2042.649,2031.573,11.075999999999794
78,CanESM5-CanOE,r2i1p2f1,2039.588,2030.518,9.069999999999936
79,CanESM5-CanOE,r3i1p2f1,2040.843,2033.493,7.350000000000136
80,EC-Earth3,r1i1p1f1,2039.188,2034.403,4.785000000000082
81,EC-Earth3,r4i1p1f1,2046.646,2041.04,5.6059999999999945
82,EC-Earth3,r6i1p1f1,2047.563,2038.336,9.22700000000009
83,EC-Earth3,r9i1p1f1,2054.787,2048.174,6.612999999999829
84,EC-Earth3-Veg,r1i1p1f1,2054.866,2049.186,5.679999999999836
85,EC-Earth3-Veg,r2i1p1f1,2068.895,2043.7,25.194999999999936
86,FGOALS-f3-L,r1i1p1f1,2053.688,2038.617,15.07100000000014
87,FGOALS-g3,r1i1p1f1,,,
88,FIO-ESM-2-0,r1i1p1f1,2049.534,2037.241,12.29300000000012
89,GFDL-ESM4,r1i1p1f1,2041.32,2029.792,11.52800000000002
90,GISS-E2-1-G,r1i1p1f2,2024.393,2021.136,3.257000000000062
91,GISS-E2-1-G,r1i1p3f1,2034.156,2029.707,4.448999999999842
92,HadGEM3-GC31-LL,r1i1p1f3,2031.005,2026.245,4.760000000000218
93,HadGEM3-GC31-MM,r1i1p1f3,2027.494,2024.765,2.7289999999998145
94,IITM-ESM,r1i1p1f1,,,
95,INM-CM4-8,r1i1p1f1,2064.335,2041.14,23.194999999999936
96,INM-CM5-0,r1i1p1f1,2040.366,2031.981,8.384999999999991
97,IPSL-CM5A2-INCA,r1i1p1f1,2042.204,2037.719,4.4849999999999
98,IPSL-CM6A-LR,r1i1p1f1,2041.323,2037.165,4.158000000000129
99,IPSL-CM6A-LR,r2i1p1f1,2046.805,2035.293,11.512000000000171
100,IPSL-CM6A-LR,r3i1p1f1,2043.254,2032.087,11.166999999999916
101,IPSL-CM6A-LR,r4i1p1f1,2041.044,2033.223,7.82100000000014
102,IPSL-CM6A-LR,r6i1p1f1,2036.15,2030.065,6.085000000000036
103,KACE-1-0-G,r1i1p1f1,2031.477,2027.049,4.428000000000111
104,KIOST-ESM,r1i1p1f1,,,
105,MCM-UA-1-0,r1i1p1f2,,2046.907,
106,MIROC-ES2L,r1i1p1f2,2032.393,2027.389,5.004000000000133
107,MIROC-ES2L,r2i1p1f2,2036.68,2029.98,6.7000000000000455
108,MIROC6,r10i1p1f1,2032.304,2026.571,5.733000000000175
109,MIROC6,r1i1p1f1,2032.361,2027.737,4.624000000000024
110,MIROC6,r2i1p1f1,2040.877,2034.513,6.364000000000033
111,MIROC6,r3i1p1f1,2029.59,2026.471,3.1189999999999145
112,MIROC6,r4i1p1f1,2036.998,2030.017,6.9809999999999945
113,MIROC6,r5i1p1f1,2043.155,2037.396,5.7590000000000146
114,MIROC6,r6i1p1f1,2036.614,2031.334,5.279999999999973
115,MIROC6,r7i1p1f1,2031.149,2027.989,3.1599999999998545
116,MIROC6,r8i1p1f1,2035.58,2031.861,3.7189999999998236
117,MIROC6,r9i1p1f1,2035.316,2029.616,5.7000000000000455
118,MPI-ESM1-2-HR,r1i1p1f1,,2044.613,
119,MPI-ESM1-2-HR,r2i1p1f1,,2059.367,
120,MPI-ESM1-2-LR,r10i1p1f1,,2083.765,
121,MPI-ESM1-2-LR,r1i1p1f1,,2043.686,
122,MPI-ESM1-2-LR,r2i1p1f1,2056.185,2046.068,10.116999999999962
123,MPI-ESM1-2-LR,r3i1p1f1,,2047.974,
124,MPI-ESM1-2-LR,r4i1p1f1,,2048.286,
125,MPI-ESM1-2-LR,r5i1p1f1,,2047.022,
126,MPI-ESM1-2-LR,r6i1p1f1,,2058.605,
127,MPI-ESM1-2-LR,r7i1p1f1,,2060.947,
128,MPI-ESM1-2-LR,r8i1p1f1,,2054.768,
129,MPI-ESM1-2-LR,r9i1p1f1,,2048.421,
130,MRI-ESM2-0,r1i1p1f1,2027.795,2025.147,2.6480000000001382
131,NESM3,r1i1p1f1,2033.017,2026.881,6.135999999999967
132,NESM3,r2i1p1f1,2043.474,2033.463,10.010999999999967
133,NorESM2-LM,r1i1p1f1,2032.248,2031.161,1.086999999999989
134,NorESM2-MM,r1i1p1f1,2037.758,2031.829,5.929000000000087
135,TaiESM1,r1i1p1f1,2022.433,2020.597,1.8360000000000127
136,UKESM1-0-LL,r10i1p1f2,2029.961,2025.097,4.864000000000033
137,UKESM1-0-LL,r11i1p1f2,2022.588,2020.275,2.3129999999998745
138,UKESM1-0-LL,r12i1p1f2,2024.348,2022.101,2.2469999999998436
139,UKESM1-0-LL,r16i1p1f2,2027.913,2023.814,4.098999999999933
140,UKESM1-0-LL,r17i1p1f2,2029.156,2024.313,4.842999999999847
141,UKESM1-0-LL,r18i1p1f2,2033.028,2027.643,5.384999999999991
142,UKESM1-0-LL,r19i1p1f2,2027.359,2024.238,3.120999999999867
143,UKESM1-0-LL,r1i1p1f2,2027.137,2023.669,3.467999999999847
144,UKESM1-0-LL,r2i1p1f2,2024.187,2021.195,2.991999999999962
145,UKESM1-0-LL,r3i1p1f2,2027.563,2024.073,3.490000000000009
146,UKESM1-0-LL,r4i1p1f2,2029.532,2025.348,4.183999999999969
147,UKESM1-0-LL,r8i1p1f2,2028.749,2024.517,4.231999999999971
148,UKESM1-0-LL,r9i1p1f2,2022.305,2020.214,2.091000000000122
149,UKESM1-1-LL,r1i1p1f2,2030.861,2026.931,3.9300000000000637
